Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1597251661.769	     6.583	0	0	0	0	molpro -t 1  pts/inp/job.0000002853.inp --no-xml-output
6	:	1597251661.875	     6.625	0	0	0	0	molpro -t 1  pts/inp/job.0000002859.inp --no-xml-output
1	:	1597251661.753	     7.891	0	0	0	0	molpro -t 1  pts/inp/job.0000002851.inp --no-xml-output
3	:	1597251661.789	     8.138	0	0	0	0	molpro -t 1  pts/inp/job.0000002854.inp --no-xml-output
7	:	1597251661.894	     8.052	0	0	0	0	molpro -t 1  pts/inp/job.0000002860.inp --no-xml-output
5	:	1597251661.834	     9.549	0	0	0	0	molpro -t 1  pts/inp/job.0000002857.inp --no-xml-output
4	:	1597251661.814	    12.501	0	0	0	0	molpro -t 1  pts/inp/job.0000002856.inp --no-xml-output
10	:	1597251668.522	     6.768	0	0	0	0	molpro -t 1  pts/inp/job.0000002865.inp --no-xml-output
9	:	1597251668.374	     7.199	0	0	0	0	molpro -t 1  pts/inp/job.0000002863.inp --no-xml-output
11	:	1597251669.667	     7.293	0	0	0	0	molpro -t 1  pts/inp/job.0000002866.inp --no-xml-output
12	:	1597251669.947	     7.545	0	0	0	0	molpro -t 1  pts/inp/job.0000002868.inp --no-xml-output
13	:	1597251669.966	     8.218	0	0	0	0	molpro -t 1  pts/inp/job.0000002869.inp --no-xml-output
14	:	1597251671.405	     7.931	0	0	0	0	molpro -t 1  pts/inp/job.0000002871.inp --no-xml-output
15	:	1597251674.337	     8.529	0	0	0	0	molpro -t 1  pts/inp/job.0000002872.inp --no-xml-output
16	:	1597251675.312	     8.496	0	0	0	0	molpro -t 1  pts/inp/job.0000002874.inp --no-xml-output
17	:	1597251675.595	     8.592	0	0	0	0	molpro -t 1  pts/inp/job.0000002875.inp --no-xml-output
19	:	1597251677.513	     7.555	0	0	0	0	molpro -t 1  pts/inp/job.0000002878.inp --no-xml-output
18	:	1597251676.982	     8.541	0	0	0	0	molpro -t 1  pts/inp/job.0000002877.inp --no-xml-output
20	:	1597251678.206	     8.681	0	0	0	0	molpro -t 1  pts/inp/job.0000002881.inp --no-xml-output
21	:	1597251679.359	     8.131	0	0	0	0	molpro -t 1  pts/inp/job.0000002882.inp --no-xml-output
22	:	1597251682.887	     7.151	0	0	0	0	molpro -t 1  pts/inp/job.0000002885.inp --no-xml-output
23	:	1597251683.832	     6.667	0	0	0	0	molpro -t 1  pts/inp/job.0000002886.inp --no-xml-output
24	:	1597251684.210	     7.716	0	0	0	0	molpro -t 1  pts/inp/job.0000002888.inp --no-xml-output
25	:	1597251685.090	     7.386	0	0	0	0	molpro -t 1  pts/inp/job.0000002889.inp --no-xml-output
